timestamp,rpm,speed_kph,coolant_temp_c,engine_load_pct,throttle_pct,intake_temp_c
133.03,867.0,16.0,89,21.96078431372549,14.117647058823529,50
133.53,992.0,12.0,89,35.68627450980392,18.03921568627451,50
134.04,1656.25,10.0,89,77.6470588235294,25.88235294117647,49
134.54,2000.0,12.0,89,91.76470588235294,33.72549019607843,49
135.04,2156.25,12.0,89,92.94117647058823,33.72549019607843,49
135.54,2296.75,16.0,89,92.94117647058823,37.254901960784316,49
136.04,2398.25,21.0,89,94.90196078431373,37.64705882352941,49
136.54,2382.75,21.0,88,93.72549019607843,38.03921568627451,48
137.04,2382.75,26.0,88,95.68627450980392,38.03921568627451,48
137.55,2292.75,26.0,88,95.68627450980392,39.21568627450981,48
138.05,2253.75,30.0,88,95.68627450980392,40.3921568627451,48
138.55,2253.75,34.0,88,94.90196078431373,40.78431372549019,48
139.05,2367.0,38.0,88,96.86274509803921,42.745098039215684,48
139.55,2531.25,38.0,88,95.68627450980392,43.13725490196079,47
140.06,2660.0,42.0,88,98.82352941176471,42.745098039215684,47
140.56,2785.0,46.0,88,100.0,43.13725490196079,47
141.06,2832.0,51.0,88,100.0,43.92156862745098,46
141.56,2906.25,56.0,88,100.0,43.529411764705884,46
142.06,2945.25,56.0,87,100.0,43.529411764705884,46
142.56,2984.25,59.0,87,100.0,43.529411764705884,46
143.07,2984.25,62.0,87,100.0,43.529411764705884,46
143.57,2996.0,62.0,87,100.0,43.13725490196079,46
144.07,2996.0,66.0,87,100.0,43.529411764705884,46
144.57,2996.0,66.0,87,100.0,43.529411764705884,45
145.07,3000.0,69.0,87,98.82352941176471,41.1764705882353,45
145.57,3027.25,72.0,87,95.68627450980392,40.0,45
146.08,3011.5,75.0,87,96.86274509803921,37.64705882352941,45
146.58,2621.0,75.0,87,15.686274509803921,17.254901960784313,45
147.08,2019.5,76.0,87,60.0,19.607843137254903,45
147.58,1808.5,77.0,87,21.96078431372549,19.215686274509803,45
148.08,1816.25,78.0,87,84.70588235294117,29.019607843137255,45
148.58,1925.75,78.0,87,75.68627450980392,24.313725490196077,45
149.08,1832.0,78.0,87,74.90196078431373,24.313725490196077,45
149.58,1699.0,78.0,87,74.90196078431373,20.784313725490197,45
150.09,1597.5,78.0,87,47.84313725490196,18.823529411764707,45
150.59,1585.75,78.0,87,38.8235294117647,17.647058823529413,45
151.09,1585.75,78.0,88,23.92156862745098,18.431372549019606,45
151.59,1625.0,78.0,88,86.66666666666667,35.68627450980392,45
152.09,2171.75,78.0,88,89.80392156862744,36.07843137254902,45
152.59,2234.25,79.0,88,89.80392156862744,36.07843137254902,44
153.09,2246.0,80.0,88,91.76470588235294,36.470588235294116,44
153.6,2304.5,80.0,88,93.72549019607843,38.03921568627451,44
154.1,2378.75,81.0,88,94.90196078431373,40.3921568627451,44
154.6,2421.75,83.0,88,91.76470588235294,40.3921568627451,44
155.1,2464.75,84.0,88,91.76470588235294,40.3921568627451,44
155.6,2464.75,84.0,88,91.76470588235294,40.3921568627451,44
156.11,2105.25,85.0,88,91.76470588235294,35.68627450980392,43
156.61,1843.75,86.0,88,38.8235294117647,16.07843137254902,43
157.11,1820.25,86.0,89,20.784313725490197,15.686274509803921,44
157.61,1820.25,86.0,89,17.647058823529413,15.294117647058824,44
158.11,1796.75,86.0,89,15.686274509803921,14.901960784313726,44
158.62,1781.25,86.0,89,22.745098039215687,15.686274509803921,44
159.12,1777.25,85.0,89,18.823529411764707,15.294117647058824,44
159.62,1730.25,84.0,89,17.647058823529413,14.509803921568627,44
160.12,1722.5,84.0,89,13.72549019607843,14.117647058823529,44
160.62,1738.25,84.0,89,33.72549019607843,16.470588235294116,44
161.12,1699.0,83.0,89,15.686274509803921,14.509803921568627,44
161.62,1691.25,82.0,89,15.686274509803921,14.509803921568627,44
162.13,1683.5,82.0,89,13.72549019607843,14.509803921568627,44
162.63,1679.5,82.0,89,13.72549019607843,14.117647058823529,44
163.13,1671.75,81.0,89,20.0,16.470588235294116,44
163.63,1671.75,80.0,89,24.705882352941178,16.862745098039216,44
164.13,1652.25,80.0,89,48.627450980392155,18.03921568627451,44
164.64,1648.25,80.0,89,34.90196078431372,17.647058823529413,44
165.14,1648.25,80.0,89,38.8235294117647,18.03921568627451,44
165.64,1660.0,80.0,89,36.86274509803921,18.03921568627451,44
166.14,1667.75,80.0,89,36.86274509803921,18.03921568627451,44
166.64,1667.75,80.0,89,35.68627450980392,18.03921568627451,44
167.14,1664.0,80.0,89,32.94117647058823,16.470588235294116,44
167.64,1656.25,80.0,89,20.784313725490197,14.509803921568627,44
168.14,1656.25,80.0,89,14.901960784313726,14.117647058823529,44
168.64,1652.25,79.0,89,11.764705882352942,13.72549019607843,44
169.15,1621.0,78.0,89,0.0,13.72549019607843,44
169.65,1605.25,78.0,89,0.0,13.333333333333334,44
170.15,1601.5,77.0,89,0.0,13.333333333333334,44
170.65,1585.75,76.0,89,0.0,13.333333333333334,44
171.15,1574.0,76.0,89,0.0,13.333333333333334,44
171.65,1574.0,76.0,89,25.88235294117647,17.647058823529413,44
172.15,1550.75,76.0,89,40.0,18.431372549019606,44
172.65,1539.0,76.0,88,42.745098039215684,18.431372549019606,44
173.15,1542.75,76.0,88,42.745098039215684,18.431372549019606,44
173.66,1550.75,75.0,88,42.745098039215684,18.431372549019606,44
174.16,1554.5,75.0,88,62.745098039215684,23.92156862745098,44
174.66,1613.25,75.0,88,82.74509803921569,28.235294117647058,44
175.16,1699.0,76.0,88,91.76470588235294,29.80392156862745,44
175.66,1726.5,76.0,88,92.94117647058823,29.80392156862745,44
176.16,1730.25,77.0,88,91.76470588235294,29.80392156862745,44
176.67,1746.0,77.0,88,91.76470588235294,29.80392156862745,43
177.17,1746.0,78.0,88,91.76470588235294,29.80392156862745,43
177.67,1746.0,78.0,87,91.76470588235294,29.80392156862745,43
178.17,1746.0,79.0,87,91.76470588235294,29.80392156862745,43
178.67,1765.5,80.0,87,90.98039215686275,29.80392156862745,43
179.18,1753.75,80.0,87,90.98039215686275,29.80392156862745,43
179.68,1722.5,80.0,87,52.94117647058823,18.431372549019606,43
180.18,1628.75,80.0,87,45.88235294117647,18.823529411764707,43
180.68,1613.25,80.0,87,44.705882352941174,18.823529411764707,43
181.19,1648.25,80.0,87,42.745098039215684,18.431372549019606,43
181.69,1664.0,80.0,87,41.96078431372549,18.823529411764707,43
182.19,1664.0,80.0,87,43.92156862745098,18.823529411764707,43
182.69,1660.0,80.0,87,44.705882352941174,18.823529411764707,43
183.19,1664.0,80.0,88,44.705882352941174,18.823529411764707,43
183.69,1664.0,80.0,87,43.92156862745098,18.823529411764707,43
184.2,1660.0,80.0,87,43.92156862745098,18.823529411764707,43
184.7,1664.0,80.0,88,44.705882352941174,19.215686274509803,43
185.2,1664.0,80.0,88,45.88235294117647,19.215686274509803,43
185.7,1671.75,80.0,88,48.627450980392155,20.784313725490197,43
186.2,1695.25,80.0,88,54.90196078431372,20.784313725490197,43
186.71,1703.0,80.0,88,55.68627450980392,20.392156862745097,43
187.21,1683.5,80.0,88,55.68627450980392,20.392156862745097,43
187.71,1679.5,80.0,88,55.68627450980392,20.392156862745097,43
188.22,1675.75,80.0,88,55.68627450980392,20.392156862745097,43
188.72,1679.5,80.0,88,54.90196078431372,20.392156862745097,43
189.22,1679.5,81.0,88,54.90196078431372,20.392156862745097,43
189.72,1683.5,82.0,88,54.90196078431372,20.392156862745097,43
190.22,1679.5,82.0,88,54.90196078431372,20.392156862745097,43
